00DSEX,27-04-2022,6677.57,6693.38,6670.92,6677.64,93249320
00DS30,27-04-2022,2474.33,2482.12,2462.53,2466.16,93249320
00DSES,27-04-2022,1456.40,1459.03,1451.26,1453.43,93249320
DSEX,27-04-2022,6677.57,6693.38,6670.92,6677.64,93249320
DS30,27-04-2022,2474.33,2482.12,2462.53,2466.16,93249320
DSES,27-04-2022,1456.40,1459.03,1451.26,1453.43,93249320
1JANATAMF,27-04-2022,6.4,6.4,6.3,6.3,332014
1STPRIMFMF,27-04-2022,17.1,17.2,17.1,17.1,60032
AAMRANET,27-04-2022,41,41.7,40.6,40.7,529677
AAMRATECH,27-04-2022,37,37.4,35.7,35.9,1407515
ABB1STMF,27-04-2022,5.6,5.7,5.6,5.6,115533
ABBANK,27-04-2022,11.5,11.9,11.5,11.7,931733
ACFL,27-04-2022,27.1,27.8,27,27.7,32946
ACI,27-04-2022,292.9,292.9,288,290,58840
ACIFORMULA,27-04-2022,167.1,174,167,168.4,8965
ACMELAB,27-04-2022,90.6,92.7,90.6,92,1061044
ACMEPL,27-04-2022,33.5,34,33.3,33.8,505624
ACTIVEFINE,27-04-2022,21.1,21.4,21,21.1,326152
ADNTEL,27-04-2022,65.8,67.9,65.8,67.1,312050
ADVENT,27-04-2022,27.2,27.4,26.7,26.8,409625
AFCAGRO,27-04-2022,24.1,24.3,23.6,23.8,197712
AFTABAUTO,27-04-2022,26.6,27,26.6,26.7,26998
AGNISYSL,27-04-2022,24.5,24.5,24,24.1,1172773
AGRANINS,27-04-2022,50.1,51,49.2,49.5,207589
AIBL1STIMF,27-04-2022,8.8,8.8,8.5,8.6,34294
AIBLPBOND,27-04-2022,4665,4665,4665,4665,5
AIL,27-04-2022,47.5,47.5,46.4,47,19431
ALARABANK,27-04-2022,26.1,26.8,26,26.3,650199
AL-HAJTEX,27-04-2022,106.4,108.5,106.4,108.1,180637
ALIF,27-04-2022,13.1,13.2,13,13.2,1338579
ALLTEX,27-04-2022,27.2,29,26.2,28.2,1529199
AMANFEED,27-04-2022,41.9,41.9,40.6,40.6,750494
AMBEEPHA,27-04-2022,460.5,468,458,459.3,1766
AMCL(PRAN),27-04-2022,314,319.9,313.5,315.5,16014
ANLIMAYARN,27-04-2022,36.6,36.6,36.3,36.4,12424
ANWARGALV,27-04-2022,354.7,364,352.6,361.5,38622
AOL,27-04-2022,38.4,38.8,38.2,38.4,114783
APEXFOODS,27-04-2022,199,202.6,195.4,197.8,48069
APEXFOOT,27-04-2022,291,299,288.8,297.3,62722
APEXSPINN,27-04-2022,139.1,144.7,139,142.4,32281
APEXTANRY,27-04-2022,160,163.8,156.1,157.6,160665
APOLOISPAT,27-04-2022,8.7,8.8,8.7,8.8,368489
ARAMIT,27-04-2022,298,301.9,295.5,297.1,3383
ARAMITCEM,27-04-2022,33.8,33.8,32.8,33.5,61224
ARGONDENIM,27-04-2022,18.4,18.6,18.3,18.6,75709
ASIAINS,27-04-2022,72.6,73.7,70.5,70.8,364916
ASIAPACINS,27-04-2022,58.8,58.8,57,58.1,54523
ATCSLGF,27-04-2022,9.9,9.9,9.7,9.8,199500
ATLASBANG,27-04-2022,105.4,106.8,105.2,105.5,4360
AZIZPIPES,27-04-2022,98,101.4,98,100.1,10116
BANGAS,27-04-2022,116,118.6,116,116.7,11761
BANKASIA,27-04-2022,18.3,18.6,18.3,18.5,39043
BARKAPOWER,27-04-2022,24.5,24.9,24.5,24.6,158426
BATASHOE,27-04-2022,940,940,916,920,2942
BATBC,27-04-2022,583,585,581,581.9,100163
