Date,Scrip,Open,High,Low,Close,Volume
20230104,00DS30,2192.16572,2197.65181,2192.16572,2196.85145,2911130000
20230104,00DSES,1352.23044,1357.02083,1352.22863,1355.83602,2911130000
20230104,00DSEX,6185.06261,6205.80058,6185.47094,6202.62682,2911130000
20230104,1JANATAMF,6.1,6.1,6.1,6.1,4390
20230104,1STPRIMFMF,16.1,16.1,16.1,16.1,6402
20230104,AAMRANET,51,52.2,50.5,51.6,1399685
20230104,AAMRATECH,39,40.9,38.8,40.5,692808
20230104,ABB1STMF,5.2,5.2,5.2,5.2,12152
20230104,ABBANK,9.9,9.9,9.9,9.9,6317
20230104,ACFL,26.5,26.5,26.5,26.5,1
20230104,ACI,260.2,260.2,260.2,260.2,321
20230104,ACIFORMULA,155,155,155,155,57
20230104,ACMELAB,85,85,85,85,6795
20230104,ACMEPL,35.4,35.4,35.4,35.4,2077
20230104,ACTIVEFINE,19.3,19.3,19.3,19.3,595
20230104,ADNTEL,109,114.9,108.3,112.7,438182
20230104,ADVENT,25.3,25.9,25.1,25.7,1865883
20230104,AFCAGRO,23.5,23.5,23.5,23.5,6745
20230104,AFTABAUTO,24.5,24.5,24.5,24.5,1663
20230104,AGNISYSL,22.2,22.8,22.2,22.7,998578
20230104,AGRANINS,35.8,36.8,35.8,36.4,194827
20230104,AIBL1STIMF,7.6,7.6,7.6,7.6,24942
20230104,AIL,53.4,53.4,53.4,53.4,14
20230104,AL-HAJTEX,132.1,132.1,132.1,132.1,1
20230104,ALARABANK,23.6,23.6,23.6,23.6,246
20230104,ALIF,13.3,13.3,13.3,13.3,245179
20230104,ALLTEX,22.8,22.8,22.8,22.8,101
20230104,AMANFEED,33.5,33.5,33.5,33.5,792
20230104,AMBEEPHA,493.7,493.7,493.7,493.7,2030
20230104,AMCL(PRAN),255.3,257.6,255.3,255.9,37298
20230104,ANLIMAYARN,34.4,34.4,34.4,34.4,3
20230104,ANWARGALV,217.4,220,213.3,213.4,481034
20230104,AOL,36.5,36.5,36.5,36.5,20
20230104,APEXFOODS,286.9,293.7,286.9,287.1,123462
20230104,APEXFOOT,264.5,264.5,258.5,259.8,16584
20230104,APEXSPINN,120,120,120,120,761
20230104,APEXTANRY,121.5,121.5,121.5,121.5,45
20230104,APOLOISPAT,8.2,8.2,8.2,8.2,103
20230104,ARAMIT,279.2,288,279.2,283.9,8261
20230104,ARAMITCEM,29.3,29.3,29.3,29.3,1
