Scrip,Open,High,Low,Close,Volume,Date,Price_Change,MA_7,Pct_Change
APEXTANRY,122.7,122.7,122.7,122.7,102,2023-01-01,19.700000000000003,182.45714285714286,19.12621359223301
ARAMIT,266.1,268.3,266.1,266.1,5614,2023-01-31,143.40000000000003,178.25714285714284,116.87041564792176
ARAMIT,288.3,292.2,287.3,287.6,7149,2023-01-01,21.5,182.55714285714288,8.079669297256675
ARAMITCEM,25.5,25.5,25.5,25.5,1,2023-01-31,-262.1,148.51428571428573,-91.13351877607788
ARAMITCEM,29.9,29.9,29.9,29.9,1,2023-01-01,4.399999999999999,136.91428571428574,17.25490196078432
ASIAINS,51.3,52.6,51.3,52.1,369153,2023-01-31,22.200000000000003,126.70000000000002,74.247491638796
ASIAINS,48.9,49.2,48.9,48.9,114631,2023-01-01,-3.200000000000003,118.97142857142858,-6.142034548944341
ASIAPACINS,47.9,47.9,47.9,47.9,13911,2023-01-31,-1.0,108.28571428571429,-2.0449897750511203
ASIAPACINS,41.6,42.0,41.2,41.2,75756,2023-01-01,-6.699999999999996,76.15714285714286,-13.987473903966585
AZIZPIPES,86.7,86.7,86.7,86.7,27981,2023-01-31,45.5,47.457142857142856,110.4368932038835
AZIZPIPES,96.8,96.8,96.7,96.7,7154,2023-01-01,10.0,57.628571428571426,11.534025374855815
BANGAS,107.1,109.6,106.1,108.7,16665,2023-01-31,12.0,68.88571428571429,12.409513960703201
BANGAS,120.5,120.5,120.5,120.5,752,2023-01-01,11.799999999999997,78.65714285714286,10.855565777368902
BATASHOE,950.1,950.1,950.1,950.1,100,2023-01-31,829.6,207.40000000000003,688.4647302904565
BATASHOE,962.0,962.0,946.0,948.0,500,2023-01-01,-2.1000000000000227,335.9857142857143,-0.2210293653299722
BATBC,518.7,518.7,518.7,518.7,1730,2023-01-31,-429.29999999999995,404.2,-45.28481012658227
BATBC,518.7,518.7,518.7,518.7,813,2023-01-01,0.0,465.9142857142857,0.0
BAYLEASING,23.9,23.9,23.9,23.9,52,2023-01-31,-494.80000000000007,455.5142857142858,-95.39232697127434
BAYLEASING,23.9,23.9,23.9,23.9,250,2023-01-01,0.0,443.40000000000003,0.0
BBS,21.6,21.6,21.6,21.6,600,2023-01-31,-2.299999999999997,429.27142857142866,-9.623430962343082
BBS,21.6,21.6,21.6,21.6,592,2023-01-01,0.0,296.62857142857143,0.0
BBSCABLES,49.9,49.9,49.9,49.9,781,2023-01-31,28.299999999999997,168.32857142857142,131.0185185185185
BBSCABLES,49.9,49.9,49.9,49.9,4942,2023-01-01,0.0,101.35714285714286,0.0
BDAUTOCA,124.7,124.7,119.5,121.3,18639,2023-01-31,71.4,44.58571428571429,143.08617234468937
BDAUTOCA,142.7,142.7,142.7,142.7,3563,2023-01-01,21.39999999999999,61.55714285714286,17.642209398186303
BDCOM,43.0,43.5,43.0,43.0,445786,2023-01-31,-99.69999999999999,64.28571428571429,-69.86685353889278
BDCOM,37.7,38.2,37.3,37.3,457767,2023-01-01,-5.700000000000003,66.52857142857142,-13.255813953488381
BDLAMPS,252.2,252.2,252.2,252.2,100,2023-01-31,214.89999999999998,99.47142857142856,576.1394101876676
BDLAMPS,257.9,257.9,252.3,252.5,27884,2023-01-01,0.30000000000001137,128.4142857142857,0.11895321173671647
BDTHAI,14.7,14.7,14.7,14.7,22786,2023-01-31,-237.8,123.38571428571429,-94.17821782178217
BDTHAI,16.4,16.4,16.4,16.4,760,2023-01-01,1.6999999999999993,108.39999999999999,11.564625850340127
BDTHAIFOOD,38.7,39.3,38.2,38.4,293605,2023-01-31,22.0,93.5,134.14634146341467
BDTHAIFOOD,49.9,50.1,48.3,48.5,455483,2023-01-01,10.100000000000001,94.28571428571429,26.30208333333335
BDWELDING,32.2,32.2,29.1,29.7,1291794,2023-01-31,-18.8,93.2,-38.76288659793815
BDWELDING,27.5,28.0,27.1,27.4,70035,2023-01-01,-2.3000000000000007,61.08571428571429,-7.744107744107742
BEACHHATCH,33.1,33.1,33.1,33.1,33571,2023-01-31,5.700000000000003,29.74285714285714,20.80291970802921
BEACHHATCH,39.7,39.7,39.7,39.7,55,2023-01-01,6.600000000000001,33.31428571428572,19.939577039274937
BEACONPHAR,322.0,322.0,302.0,308.6,151479,2023-01-31,268.90000000000003,75.05714285714286,677.3299748110832
BEACONPHAR,304.5,304.5,282.1,284.0,35311,2023-01-01,-24.600000000000023,110.14285714285714,-7.971484121840577
BENGALWTL,36.9,36.9,35.6,35.8,671621,2023-01-31,-248.2,108.32857142857144,-87.3943661971831
BERGERPBL,1720.0,1739.0,1720.0,1737.1,1033,2023-01-31,1706.3999999999999,352.7142857142857,5558.306188925081
BERGERPBL,1726.9,1726.9,1717.0,1725.2,261,2023-01-01,-11.899999999999864,594.4428571428572,-0.6850497956363943
BEXGSUKUK,85.0,85.5,85.0,85.5,8476,2023-01-31,-1639.7,600.9857142857144,-95.04405286343612
BEXGSUKUK,86.5,86.5,86.0,86.5,3760,2023-01-01,1.0,569.2571428571429,1.1695906432748648
BEXIMCO,115.6,115.6,115.6,115.6,2571,2023-01-31,29.099999999999994,545.2,33.641618497109825
BEXIMCO,115.6,115.6,115.6,115.6,792,2023-01-01,0.0,556.6,0.0
BGIC,68.4,70.0,67.8,69.4,218732,2023-01-31,-46.19999999999999,562.1285714285715,-39.96539792387542
BGIC,61.4,63.7,61.4,62.8,92537,2023-01-01,-6.6000000000000085,322.9428571428571,-9.510086455331423
BNICL,61.7,61.7,60.5,61.1,169273,2023-01-31,-1.6999999999999957,85.21428571428571,-2.7070063694267454
BNICL,58.2,58.2,56.9,57.0,78812,2023-01-01,-4.100000000000001,81.14285714285714,-6.710310965630118
BPML,77.7,77.7,73.1,73.5,1294303,2023-01-01,-11.200000000000003,74.87142857142855,-13.223140495867769
BRACBANK,38.5,38.5,38.5,38.5,1291,2023-01-31,-35.0,63.857142857142854,-47.61904761904761
BRACBANK,38.5,38.5,38.5,38.5,1953,2023-01-01,0.0,59.44285714285714,0.0
BSC,128.5,130.0,122.6,123.3,1589305,2023-01-31,84.8,68.08571428571429,220.25974025974025
BSC,115.9,116.5,112.8,113.2,458165,2023-01-01,-10.099999999999994,75.52857142857144,-8.191403081914029
BSCCL,218.9,218.9,218.9,218.9,1462,2023-01-31,105.7,98.65714285714286,93.37455830388693
BSCCL,218.9,218.9,218.9,218.9,181,2023-01-01,0.0,117.82857142857144,0.0
BSRMLTD,90.0,90.0,90.0,90.0,258,2023-01-31,-128.9,120.18571428571428,-58.88533576975787
BSRMLTD,90.0,90.0,90.0,90.0,208,2023-01-01,0.0,127.54285714285713,0.0
BSRMSTEEL,63.9,63.9,63.9,63.9,350,2023-01-31,-26.1,131.17142857142855,-29.000000000000004
BSRMSTEEL,63.9,63.9,63.9,63.9,1049,2023-01-01,0.0,122.68571428571428,0.0
BXPHARMA,146.2,146.2,146.2,146.2,37555,2023-01-31,82.29999999999998,127.39999999999999,128.79499217527385
BXPHARMA,146.2,147.0,146.2,146.2,74794,2023-01-01,0.0,117.0142857142857,0.0
CAPMIBBLMF,11.5,11.5,11.5,11.5,2125,2023-01-31,-134.7,87.38571428571429,-92.13406292749657
CAPMIBBLMF,13.7,13.7,13.7,13.7,3,2023-01-01,2.1999999999999993,76.48571428571428,19.130434782608695
CENTRALINS,39.8,39.8,39.5,39.5,8802,2023-01-31,25.8,69.27142857142857,188.3211678832117
CENTRALINS,35.4,35.4,35.4,35.4,2702,2023-01-01,-4.100000000000001,65.2,-10.379746835443038
CENTRALPHL,11.2,11.2,11.2,11.2,19150,2023-01-31,-24.2,57.67142857142857,-68.36158192090396
CENTRALPHL,11.8,11.8,11.8,11.8,4201,2023-01-01,0.6000000000000014,38.471428571428575,5.35714285714286
CITYBANK,21.8,21.8,21.8,21.8,5248,2023-01-31,10.0,20.7,84.7457627118644
CITYBANK,21.8,21.8,21.8,21.8,15341,2023-01-01,0.0,22.17142857142857,0.0
CITYGENINS,32.1,32.1,32.1,32.1,10183,2023-01-31,10.3,24.800000000000004,47.24770642201834
CITYGENINS,25.7,26.0,25.7,25.7,75441,2023-01-01,-6.400000000000002,22.82857142857143,-19.937694704049846
CLICL,67.4,68.9,67.4,67.4,650284,2023-01-31,41.7,27.400000000000002,162.25680933852144
CLICL,61.6,61.8,60.8,60.8,465024,2023-01-01,-6.6000000000000085,34.48571428571428,-9.792284866468858
CONFIDCEM,89.0,89.0,89.0,89.0,262,2023-01-31,28.200000000000003,45.51428571428572,46.38157894736843
CONFIDCEM,89.0,89.0,89.0,89.0,6255,2023-01-01,0.0,55.114285714285714,0.0
CONTININS,33.1,33.3,33.1,33.1,28413,2023-01-31,-55.9,56.72857142857142,-62.80898876404495
CONTININS,30.6,31.1,30.0,30.0,40642,2023-01-01,-3.1000000000000014,56.42857142857143,-9.365558912386707
COPPERTECH,36.9,36.9,36.9,36.9,100,2023-01-31,6.899999999999999,58.028571428571425,23.0
COPPERTECH,36.9,36.9,36.9,36.9,530,2023-01-01,0.0,53.67142857142857,0.0
CRYSTALINS,41.3,41.3,41.3,41.3,4260,2023-01-31,4.399999999999999,50.885714285714286,11.924119241192411
CRYSTALINS,40.3,40.4,39.9,39.9,20462,2023-01-01,-1.3999999999999986,43.87142857142857,-3.3898305084745783
DACCADYE,15.1,15.1,15.1,15.1,206,2023-01-31,-24.799999999999997,33.31428571428571,-62.15538847117794
DACCADYE,17.3,17.3,17.3,17.3,100,2023-01-01,2.200000000000001,31.057142857142853,14.569536423841068
DBH,57.8,57.8,57.8,57.8,9398,2023-01-31,40.5,35.028571428571425,234.10404624277453
DBH,57.8,57.8,57.8,57.8,2,2023-01-01,0.0,38.01428571428572,0.0
DELTALIFE,136.5,136.5,136.5,136.5,37891,2023-01-31,78.7,52.24285714285714,136.15916955017303
DELTALIFE,136.5,136.5,136.5,136.5,2407,2023-01-01,0.0,65.84285714285714,0.0
DELTASPINN,8.5,8.5,8.5,8.5,11,2023-01-31,-128.0,61.357142857142854,-93.77289377289377
