Date,Scrip,Open,High,Low,Close,Volume
20221106,00DS30,2252.99262,2265.89641,2252.99262,2258.83448,12753112000
20221106,00DSES,1401.10133,1409.93632,1401.10133,1405.52294,12753112000
20221106,00DSEX,6410.66573,6433.17791,6410.07849,6415.77078,12753112000
20221106,1JANATAMF,6.1,6.1,6.1,6.1,670
20221106,1STPRIMFMF,17,17,17,17,150
20221106,AAMRANET,47.4,48.5,46.1,46.8,2545601
20221106,AAMRATECH,55,57.7,53.2,54.1,4074921
20221106,ABB1STMF,5.2,5.2,5.2,5.2,10086
20221106,ABBANK,9.9,9.9,9.9,9.9,40082
20221106,ACFL,26.5,26.9,26.5,26.5,259539
20221106,ACI,273.9,275.5,273.2,274.4,37726
20221106,ACIFORMULA,157.8,157.9,155.3,156.5,147881
20221106,ACMELAB,89.9,89.9,87.3,87.7,475268
20221106,ACMEPL,35.4,35.4,35.4,35.4,5357
20221106,ACTIVEFINE,19.3,19.3,19.3,19.3,2612
20221106,ADNTEL,144.9,149.1,138,144.8,1542075
20221106,ADVENT,23.3,23.3,22.6,22.7,1138288
20221106,AFCAGRO,23.5,23.5,23.5,23.5,25140
20221106,AFTABAUTO,27.4,27.8,27,27.3,247699
20221106,AGNISYSL,23.4,24.1,23.1,23.3,1387988
20221106,AGRANINS,40.1,40.1,38.5,38.5,176083
20221106,AIBL1STIMF,7.3,7.3,7.3,7.3,1671
20221106,AIL,53.4,53.4,53.4,53.4,33178
20221106,AL-HAJTEX,132.2,136.4,132.1,134.2,319431
20221106,ALARABANK,23.6,24,23.6,23.6,51151
20221106,ALIF,13.3,13.3,13.3,13.3,8608
20221106,ALLTEX,24.6,24.6,24.6,24.6,116
20221106,AMANFEED,34.3,35.2,33.5,33.5,385002
20221106,AMBEEPHA,486.2,486.2,486.2,486.2,226
20221106,AMCL(PRAN),270,270,266.8,266.8,37861
20221106,ANLIMAYARN,37.1,37.1,37.1,37.1,7
20221106,ANWARGALV,466.1,489.8,466,480.6,327857
20221106,AOL,36.5,36.5,36.5,36.5,302404
20221106,APEXFOODS,219.3,222,214.5,218.6,110608
20221106,APEXFOOT,257.5,257.5,257.5,257.5,1457
20221106,APEXSPINN,130.9,130.9,130.9,130.9,4318
20221106,APEXTANRY,128.7,128.7,128.7,128.7,204
20221106,APOLOISPAT,8.2,8.2,8.2,8.2,1425
20221106,ARAMIT,312.5,325,310,312.3,53199
20221106,ARAMITCEM,31.4,31.4,31.4,31.4,11142
20221106,ARGONDENIM,18.3,18.6,18.2,18.2,119055
20221106,ASIAINS,56.4,58.3,54,54.9,1183866
20221106,ASIAPACINS,47.5,49.2,47.3,47.5,117439
20221106,ATCSLGF,9.7,9.7,9.7,9.7,200
20221106,ATLASBANG,104.2,104.2,104.2,104.2,10
20221106,AZIZPIPES,95.7,95.7,95.7,95.7,21752
20221106,BANGAS,127.7,127.7,127.7,127.7,1394
20221106,BANKASIA,20.2,20.2,20.2,20.2,10100
20221106,BARKAPOWER,21.4,21.4,21.3,21.3,134584
20221106,BATASHOE,942,967.3,942,951.5,3423
20221106,BATBC,518.7,518.7,518.7,518.7,15425
20221106,BAYLEASING,23.9,23.9,23.9,23.9,3821
20221106,BBS,24.3,24.4,22.3,22.6,3989278
20221106,BBSCABLES,53.7,53.8,52.4,52.6,1245942
20221106,BDAUTOCA,136.2,136.2,136.2,136.2,524
20221106,BDCOM,46,47.2,43.8,44.3,2540923
20221106,BDFINANCE,44.1,44.1,44.1,44.1,4365
20221106,BDLAMPS,271.2,286,265.1,282.7,136374
20221106,BDTHAI,17,17,17,17,414
20221106,BDTHAIFOOD,47.5,48.3,46.6,47.2,671116
20221106,BDWELDING,26.9,29,26.9,29,1143167
20221106,BEACHHATCH,41.7,41.7,41.7,41.7,412
20221106,BEACONPHAR,309.9,317,305.1,307.5,357442
20221106,BENGALWTL,24.6,25.7,24.2,24.6,330548
20221106,BERGERPBL,1711.6,1711.7,1711.6,1711.6,1304
20221106,BEXGSUKUK,87,91,87,88,2621
20221106,BEXIMCO,116.8,116.9,115.6,115.6,9060915
20221106,BGIC,47.9,50.5,45.5,49.4,232320
20221106,BIFC,9.5,9.8,9.5,9.5,92592
20221106,BNICL,66,69.8,64.1,66.8,1375151
20221106,BPML,105.2,117.2,104.9,117.2,3497370
20221106,BPPL,29.3,29.3,29.3,29.3,36278
20221106,BRACBANK,38.5,38.5,38.5,38.5,15626
20221106,BSC,147.1,152.6,144.2,150.6,3060935
20221106,BSCCL,218.9,218.9,218.9,218.9,147153
20221106,BSRMLTD,90,90,90,90,39346
20221106,BSRMSTEEL,65.4,65.4,65,65,62112
20221106,BXPHARMA,164.9,169.6,161.1,166.8,617419
20221106,CAPMIBBLMF,14.2,14.2,14.2,14.2,10
20221106,CENTRALINS,38.5,39.8,38.5,38.9,29602
20221106,CENTRALPHL,12.4,12.4,12.4,12.4,35345
20221106,CITYBANK,21.8,22.2,21.8,22.1,398145
20221106,CITYGENINS,29.3,29.5,27.8,28.1,471426
20221106,CLICL,17.6,17.6,17.6,17.6,613
20221106,CNATEX,10.2,10.2,10.2,10.2,704
20221106,CONFIDCEM,93.5,93.5,93.5,93.5,14794
20221106,CONTININS,34.2,34.2,33,33.3,291858
20221106,COPPERTECH,41.6,41.7,39.7,40,1480206
20221106,CROWNCEMNT,74.4,74.4,74.4,74.4,10
